model,side,label,threshold,sample_mode,evaluated_years,complete_years,candidate_rows,signal_count,coverage,precision,natural_precision,actual_up_rate,actual_down_rate,avg_future_ret_3w,avg_future_mfe_3w,avg_future_mae_3w,natural_avg_future_ret_3w,precision_lift,avg_return_lift
mlp,bottom,manual_weak_bottom_label,0.4,non_overlapping,6,5,80,1,0.0125,0.0,0.2625,1.0,0.0,0.04633486,0.10158525,-0.0073343,0.012450520499999998,-0.2625,0.0338843395
mlp,bottom,manual_weak_bottom_label,0.5,all_signals,6,5,80,1,0.0125,0.0,0.2625,1.0,0.0,0.04633486,0.10158525,-0.0073343,0.012450520499999998,-0.2625,0.0338843395
mlp,bottom,manual_weak_bottom_label,0.5,non_overlapping,6,5,80,1,0.0125,0.0,0.2625,1.0,0.0,0.04633486,0.10158525,-0.0073343,0.012450520499999998,-0.2625,0.0338843395
mlp,bottom,manual_weak_bottom_label,0.6,all_signals,6,5,80,0,0.0,,0.2625,,,,,,0.012450520499999998,,
mlp,bottom,manual_weak_bottom_label,0.6,non_overlapping,6,5,80,0,0.0,,0.2625,,,,,,0.012450520499999998,,
mlp,bottom,manual_weak_bottom_label,0.7,all_signals,6,5,80,0,0.0,,0.2625,,,,,,0.012450520499999998,,
mlp,bottom,manual_weak_bottom_label,0.7,non_overlapping,6,5,80,0,0.0,,0.2625,,,,,,0.012450520499999998,,
mlp,top,manual_weak_top_label,0.3,all_signals,6,5,111,37,0.3333333333333333,0.13513513513513514,0.0990990990990991,0.6216216216216216,0.3783783783783784,0.010223705405405407,0.04895498,-0.03646682486486487,0.00734634927927928,0.03603603603603604,0.002877356126126127
mlp,top,manual_weak_top_label,0.3,non_overlapping,6,5,111,21,0.1891891891891892,0.14285714285714285,0.0990990990990991,0.5714285714285714,0.42857142857142855,0.008834672857142857,0.05027445857142857,-0.03450586238095238,0.00734634927927928,0.04375804375804375,0.001488323577863577
mlp,top,manual_weak_top_label,0.4,all_signals,6,5,111,21,0.1891891891891892,0.09523809523809523,0.0990990990990991,0.6190476190476191,0.38095238095238093,0.012349426666666666,0.054793305714285714,-0.03770061619047619,0.00734634927927928,-0.003861003861003867,0.005003077387387387
mlp,top,manual_weak_top_label,0.4,non_overlapping,6,5,111,12,0.10810810810810811,0.16666666666666666,0.0990990990990991,0.6666666666666666,0.3333333333333333,0.01445463083333333,0.06425924416666667,-0.03701878166666667,0.00734634927927928,0.06756756756756756,0.007108281554054051
mlp,top,manual_weak_top_label,0.5,all_signals,6,5,111,14,0.12612612612612611,0.0,0.0990990990990991,0.5714285714285714,0.42857142857142855,0.015453117142857142,0.06260364571428571,-0.04009441857142857,0.00734634927927928,-0.0990990990990991,0.008106767863577863
mlp,top,manual_weak_top_label,0.5,non_overlapping,6,5,111,8,0.07207207207207207,0.0,0.0990990990990991,0.625,0.375,0.01999539,0.07750926250000001,-0.03610261875,0.00734634927927928,-0.0990990990990991,0.01264904072072072
mlp,top,manual_weak_top_label,0.6,all_signals,6,5,111,7,0.06306306306306306,0.0,0.0990990990990991,0.7142857142857143,0.2857142857142857,0.03397934714285714,0.08490956571428572,-0.02470406857142857,0.00734634927927928,-0.0990990990990991,0.026632997863577864
mlp,top,manual_weak_top_label,0.6,non_overlapping,6,5,111,5,0.04504504504504504,0.0,0.0990990990990991,0.6,0.4,0.025942361999999997,0.08139613,-0.029379893999999997,0.00734634927927928,-0.0990990990990991,0.018596012720720718
mlp,top,manual_weak_top_label,0.7,all_signals,6,5,111,3,0.02702702702702703,0.0,0.0990990990990991,1.0,0.0,0.07582852999999999,0.14687022333333333,0.00242785,0.00734634927927928,-0.0990990990990991,0.06848218072072071
mlp,top,manual_weak_top_label,0.7,non_overlapping,6,5,111,2,0.018018018018018018,0.0,0.0990990990990991,1.0,0.0,0.066345995,0.151556,0.010134035,0.00734634927927928,-0.0990990990990991,0.05899964572072072
