week_start_date,week_end_date,week_pos,manual_weak_bottom_label,future_ret_3w,future_mfe_3w,future_mae_3w,is_bottom_candidate,is_top_candidate,turning_proba,test_year,year_complete,model,side,label_col,train_rows,tuned_params_json,tuning_status,manual_weak_top_label
2021-07-12,2021-07-16,334,,0.03511321,0.03679505,-0.06609768,0,1,0.15251385081570487,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-07-19,2021-07-23,335,,0.03551943,0.04670132,-0.08526068,0,1,0.06481479513397773,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-07-26,2021-07-30,336,,0.02822462,0.06362292,-0.00185765,0,1,0.1417156133366834,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-08-02,2021-08-06,337,,0.02645007,0.03871602,-0.02025788,0,1,0.01710016239008907,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-08-09,2021-08-13,338,,-0.00144937,0.01970710,-0.04073795,0,1,0.3015366905123588,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-08-16,2021-08-20,339,,0.06230983,0.06523335,0.00380362,0,1,0.10585255378569401,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-08-23,2021-08-27,340,,0.00652936,0.04719197,-0.02399898,0,1,0.9794241016097446,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-08-30,2021-09-03,341,,0.00848884,0.05394884,-0.01020766,1,1,0.960098843188005,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-09-06,2021-09-10,342,,-0.06645811,0.01384972,-0.09247098,0,1,0.9984113394396827,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,1.0
2021-09-13,2021-09-17,343,,-0.03939795,0.01552568,-0.06870603,0,1,0.784536837134036,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,1.0
2021-09-22,2021-09-24,344,,-0.04485735,0.00488473,-0.07407891,0,1,0.05370842694196373,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,1.0
2021-11-15,2021-11-19,352,,0.01862717,0.03576915,-0.01151239,0,1,0.28866861589669085,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-11-22,2021-11-26,353,,-0.00587926,0.01789595,-0.02856971,0,1,0.0864723429349796,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-11-29,2021-12-03,354,,-0.03082729,0.00073081,-0.03863926,0,1,0.1645480725786414,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,1.0
2021-12-06,2021-12-10,355,,0.00769883,0.00882751,-0.02639712,0,1,0.8549594639589555,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,1.0
2021-12-27,2021-12-31,358,,-0.07759736,0.00632509,-0.07813916,0,1,0.8543442574723294,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,1.0
2021-05-24,2021-05-28,327,,0.02530046,0.03190797,-0.00392958,0,1,2.5135267673662233e-05,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-05-31,2021-06-04,328,,0.03162868,0.04046639,-0.01735447,0,1,8.402896588145939e-09,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-06-07,2021-06-11,329,,0.00816565,0.03592003,-0.02698581,0,1,4.084203931681581e-05,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-06-15,2021-06-18,330,,0.04067520,0.04402295,-0.00442297,0,1,4.230133029130228e-05,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-06-21,2021-06-25,331,,0.03255986,0.04826518,-0.01647542,0,1,1.3897766005752352e-07,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-06-28,2021-07-02,332,,0.06815221,0.08166327,-0.00345017,0,1,0.0011308829714448663,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-07-05,2021-07-09,333,,0.01672766,0.04623319,-0.05492364,0,1,0.0016226811543612364,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-07-12,2021-07-16,334,,0.03511321,0.03679505,-0.06609768,0,1,0.007613340913154652,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-07-19,2021-07-23,335,,0.03551943,0.04670132,-0.08526068,0,1,0.0020990976548793763,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-07-26,2021-07-30,336,,0.02822462,0.06362292,-0.00185765,0,1,0.01760747745562932,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-08-02,2021-08-06,337,,0.02645007,0.03871602,-0.02025788,0,1,0.00025712720998767423,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-08-09,2021-08-13,338,,-0.00144937,0.01970710,-0.04073795,0,1,0.237413467790057,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-08-16,2021-08-20,339,,0.06230983,0.06523335,0.00380362,0,1,0.07471184339812104,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-08-23,2021-08-27,340,,0.00652936,0.04719197,-0.02399898,0,1,0.999868579376989,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
2021-08-30,2021-09-03,341,,0.00848884,0.05394884,-0.01020766,1,1,0.9995149517527465,2021,True,lda,top,manual_weak_top_label,104,"{""shrinkage"": 0.5, ""solver"": ""lsqr""}",ok,0.0
