model,side,label,threshold,sample_mode,evaluated_years,complete_years,candidate_rows,signal_count,coverage,precision,natural_precision,actual_up_rate,actual_down_rate,avg_future_ret_3w,avg_future_mfe_3w,avg_future_mae_3w,natural_avg_future_ret_3w,precision_lift,avg_return_lift
logistic,top,manual_weak_top_label,0.5,non_overlapping,6,5,111,32,0.2882882882882883,0.40625,0.3333333333333333,0.625,0.375,0.0036151199999999994,0.049048884375,-0.036019434687500004,0.00734634927927928,0.07291666666666669,-0.0037312292792792802
logistic,top,manual_weak_top_label,0.6,all_signals,6,5,111,63,0.5675675675675675,0.42857142857142855,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.002495323333333333,0.040029609682539685,-0.03983772968253968,0.00734634927927928,0.09523809523809523,-0.004851025945945947
logistic,top,manual_weak_top_label,0.6,non_overlapping,6,5,111,32,0.2882882882882883,0.40625,0.3333333333333333,0.625,0.375,0.0036151199999999994,0.049048884375,-0.036019434687500004,0.00734634927927928,0.07291666666666669,-0.0037312292792792802
logistic,top,manual_weak_top_label,0.7,all_signals,6,5,111,52,0.46846846846846846,0.46153846153846156,0.3333333333333333,0.5384615384615384,0.46153846153846156,0.0002336398076923075,0.03679675557692308,-0.04155094692307692,0.00734634927927928,0.12820512820512825,-0.007112709471586972
logistic,top,manual_weak_top_label,0.7,non_overlapping,6,5,111,28,0.25225225225225223,0.42857142857142855,0.3333333333333333,0.5357142857142857,0.4642857142857143,-0.0027462621428571425,0.040019983214285716,-0.04111819821428571,0.00734634927927928,0.09523809523809523,-0.010092611422136423
mlp,bottom,manual_weak_bottom_label,0.3,all_signals,6,5,80,17,0.2125,0.35294117647058826,0.25,0.7058823529411765,0.29411764705882354,0.01413740411764706,0.05039295176470588,-0.0594508405882353,0.012450520499999998,0.10294117647058826,0.001686883617647062
mlp,bottom,manual_weak_bottom_label,0.3,non_overlapping,6,5,80,12,0.15,0.3333333333333333,0.25,0.6666666666666666,0.3333333333333333,0.014643205833333334,0.049398717499999995,-0.06025083750000001,0.012450520499999998,0.08333333333333331,0.0021926853333333364
mlp,bottom,manual_weak_bottom_label,0.4,all_signals,6,5,80,10,0.125,0.5,0.25,0.8,0.2,0.006999317999999999,0.048388849,-0.047085297,0.012450520499999998,0.25,-0.0054512024999999985
mlp,bottom,manual_weak_bottom_label,0.4,non_overlapping,6,5,80,7,0.0875,0.42857142857142855,0.25,0.8571428571428571,0.14285714285714285,0.013552674285714286,0.04714984428571429,-0.03395297142857143,0.012450520499999998,0.17857142857142855,0.0011021537857142886
mlp,bottom,manual_weak_bottom_label,0.5,all_signals,6,5,80,4,0.05,0.5,0.25,1.0,0.0,0.04379977,0.05639239,-0.0186943475,0.012450520499999998,0.25,0.0313492495
mlp,bottom,manual_weak_bottom_label,0.5,non_overlapping,6,5,80,3,0.0375,0.3333333333333333,0.25,1.0,0.0,0.03353578666666667,0.048804886666666665,-0.023207973333333336,0.012450520499999998,0.08333333333333331,0.021085266166666672
mlp,bottom,manual_weak_bottom_label,0.6,all_signals,6,5,80,1,0.0125,0.0,0.25,1.0,0.0,0.03545762,0.03549823,-0.04808904,0.012450520499999998,-0.25,0.023007099500000003
mlp,bottom,manual_weak_bottom_label,0.6,non_overlapping,6,5,80,1,0.0125,0.0,0.25,1.0,0.0,0.03545762,0.03549823,-0.04808904,0.012450520499999998,-0.25,0.023007099500000003
mlp,bottom,manual_weak_bottom_label,0.7,all_signals,6,5,80,0,0.0,,0.25,,,,,,0.012450520499999998,,
mlp,bottom,manual_weak_bottom_label,0.7,non_overlapping,6,5,80,0,0.0,,0.25,,,,,,0.012450520499999998,,
mlp,top,manual_weak_top_label,0.3,all_signals,6,5,111,90,0.8108108108108109,0.35555555555555557,0.3333333333333333,0.5666666666666667,0.43333333333333335,0.007638039222222221,0.04048331555555555,-0.03707415211111111,0.00734634927927928,0.022222222222222254,0.0002916899429429411
mlp,top,manual_weak_top_label,0.3,non_overlapping,6,5,111,40,0.36036036036036034,0.375,0.3333333333333333,0.5,0.5,0.005274641250000002,0.04202367275,-0.03679335474999999,0.00734634927927928,0.041666666666666685,-0.002071708029279278
mlp,top,manual_weak_top_label,0.4,all_signals,6,5,111,81,0.7297297297297297,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.010101058271604938,0.042133681851851845,-0.03513184135802468,0.00734634927927928,0.0,0.002754708992325658
mlp,top,manual_weak_top_label,0.4,non_overlapping,6,5,111,38,0.34234234234234234,0.3684210526315789,0.3333333333333333,0.5,0.5,0.008589276842105264,0.04388697131578947,-0.03457720105263157,0.00734634927927928,0.03508771929824561,0.0012429275628259842
